,artist_name,track_name,track_id,popularity
0,Post Malone,Wow.,6MWtB6iiXyIwun0YzU6DFP,99
1,Los Unidades,E-Lo (feat. Jozzy),3eydp9rHJAskzOevEBK267,67
2,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,98
3,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,95
4,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,94
5,21 Savage,a lot,2t8yVaLvJ0RenpXUIAC52d,93
6,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,93
7,Blueface,Thotiana,3oh6SCCeLuXhFpEyepla6G,93
8,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,92
9,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,94
10,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,97
11,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,97
12,Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,93
13,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,92
14,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,92
15,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,92
16,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,93
17,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,89
18,Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,89
19,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,89
20,Khalid,Better,6zeeWid2sgw4lap2jV61PZ,88
21,A Boogie Wit da Hoodie,Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,91
22,Calboy,Envy Me,05t7JMip6JrLuSrMV5yYjX,87
23,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,91
24,Billie Eilish,when the party's over,14JzyD6FlBD5z0wV5P07YI,93
25,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,95
26,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,92
27,Gucci Mane,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,89
28,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,87
29,Ski Mask The Slump God,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,87
30,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,86
31,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,92
32,Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,93
33,benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,91
34,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,89
35,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,97
36,Tyga,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,90
37,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,97
38,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,95
39,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,86
40,Lil Mosey,Noticed,6JQvHMSaR8flFsN53ypOfP,87
41,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,86
42,Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,90
43,Kodak Black,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,85
44,Dean Lewis,Be Alright,3EPXxR3ImUwfayaurPi3cm,93
45,Post Malone,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,89
46,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,95
47,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,85
48,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,92
49,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,86
50,Future,Fine China,5274I4mUMnYczyeXkGDWZN,85
51,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,90
